Name|score|condition|slots|machine|part|effect|learn
Aim|2|Burst|3|Grezex|Arm|Concentrates all your bullets onto one randomly selected part, be it the body, legs, or either arm.  All the bullets will hit, even if your accuracy is low.  Unfortunately, you have no control over what part is selected.  There is a 25% possibility of selecting the body, but this skill is best replaced by Aim-Arm, Aim-Leg, or Aim-Body once you learn them, since they all take the same # of slots.|
Aim-Arm|5|Burst|3|Vinedrai|Arm|Concentrates all your bullets onto one randomly selected arm.  Like ArmSmash, it quite frequently selects the enemy's weapon arm in an attempt to disable them.  All the bullets will hit, even if your accuracy is low.  Very useful for disabling or capturing wanzers, since they often give up fighting without their arms.|
Aim-Body|5|Burst|3|Shunwang 1|Arm|This one's an awesome skill.  It concentrates all your bullets onto the enemy body, often doing tremendous damage.  All the bullets will hit, even if your accuracy is low.  This is a great way to one-hit-kill an many wanzers, yet it only takes 3 slots (compared to Body Smash, which takes 5).|
Aim-Legs|3|Burst|3|Tieqi 4|Arm|Concentrates all your bullets onto the enemy's legs.  All the bullets will hit, even if your accuracy is low.  This skill works quite well in conjunction with Aim-Arm to disable enemy wanzers to force them to surrender, or to disable their movement.|
AP-0|4|No grenades|3|Hoshun Mk112|Legs|Reduces the AP needed to attack to dead 0, meaning you get to attack for free.  The most obvious use for this is the Heavy P-Gun, which takes 15 AP.  However, don't discount the use for missiles, which take 10, and normal weapons while counterattacking.  Unfortunately it won't work with grenades. This skill is great for saving AP, especially when you're expecting lots of counterattacks that will suck AP after your turn, or you want to use the Heavy P-Gun more than every other turn.  It takes 3 slots, but it sure helps. Keep in mind it wont always activate.  Even so, try using a high-activation computer to make the move more reliable.|
AP-30|2|No grenades|1|Kasel M2|Legs|Reduces the AP needed to attack by 30%.  It's handy for all the major AP suckers early in the game, as well as for simply saving some AP throughout your various attack/counterattack battles (especially if you keep running low).  It only takes 1 slot, so it's pretty nice to use.  However, if you haveslots to spare, and can learn them, consider upgrading to AP-60% or AP-0.|
AP-60|3|No grenades|2|Shunyo Mk111|Legs|Reduces the AP needed to attack by 60% (nearly 2/3).  It's handy for all the major AP suckers throughout the game, as well as for simply saving as much AP as you can throughout various attack/counterattack battles.  Usually 2 slots are a worthy price, but if you can't afford them, AP-30% should still be sort of useful.  If you have 3 slots and a high-activation computer, AP-0 is a great choice.|
Arm Smash|5|1 shot, melee, missile|4|Foura M12A|Arm|One of four instant-destroy skills, Arm Smash instantly destroys the arm it targets.  If you see the skill activate, you can be absolutely sure it won't miss.  Like Aim-Arm, it will almost always target the enemy's main attack arm in an attempt to disable it.  Very useful for disabling serious threats, or forcing a surrender to steal a wanzer.|This skill likes to eat missile enemies and anyone else that's really threatening.  Fire rifles or missiles at them until the skill activates.  It may take a while, however.
Auto 1|0|No shoulder weapon; must be stunned|1|Enyo Mk109|Body|If you get stunned, and the enemy attacks you within range of your arm weapon, AutoI may activate.  It puts your wanzer on auto pilot so it can counter attack.  Unfortunately, this is one of the hardest skills to learn, and rarely ever activates.  In fact, you rarely ever get stunned anyway. What a tragic waste of a skill.|Get stunned a lot, and I mean a lot, and then let the enemy attack you while you're disabled.  One day the skill will activate and you'll wonder why on earth you spent all that time on it.  Or maybe you'll just get lucky and it will activate out of pure luck early on.  The high acquire computer is a must!
Auto 2|0|No shoulder weapon; must be stunned|2|Prov PAW2|Body|If you get stunned, and the enemy attacks you within range of your arm weapon, AutoII may activate.  It puts your wanzer on auto pilot so it can counter attack, and then removes the stun status!  Unfortunately, this is THE hardest skill to learn in the game, and rarely ever activates.  In fact, you rarely ever get stunned anyway.|Get stunned a lot, and just pray.  This skill it ridiculously hard to learn, and in my opinion isn't nearly worth it.
Auto-Counter|3|All weapons; enemy must go first, must lose a part|1|Genie|Legs|If your enemy is about to destroy one of your parts (even the legs), AutoCounter may activate.  It allows you to counter attack even if the enemy destroys your body, or the arm you're attacking with.  This skill is very valuable for learning skills that require losing a part, or simply getting that last stab out before you're dead or disabled.|Subject yourself to lots of punishment and lose lots of arms, legs, and even your body.  As long as you have a part left to attack with before the attack begins, there's a chance AutoCoutner will activate.
Avoid 20|2|All Weapons (def); attack damage at or below 20|1|Tiandong 3|Legs|This skill is great at the beginning of the game, but unfortunately you can't learn it until later.  :)  Still, once you've learned it, you can use it on the lower simulations, with shields, or it comes in extremely handy when you restart the game.  Any hits the enemy deals that do 20 or less damage will be reduced to 0, meaning the enemy does no damage at all.  This makes fighting burst (shotgun, machinegun, but usually not flamer) weapons a breeze.  If the enemy is doing more than 20 damage, try using your core's defense class, like Anti-Piercing etc, to reduce it back into range.  If you're using a shield (another good way to make the skill activate), the arm will take no damage, but the shield will still lose a durability point, so keep that in mind.  This skill is great to fill in an empty slot along side other skills, since it only takes 1 slot.|Play the JDF Test Facility simulation and just let the enemies with machineguns beat you up a lot.  You can learn it pretty easily this way, though it may take some time at first.  It helps to kill anyone using missiles or melee, since they won't activate the skill.
Avoid 40|4|All Weapons (def); attack damage at or below 40|2|Lanze|Legs|Any damage at or below 40 is reduced to 0.  Despite taking an extra slot, this skill still manages to pull its weight since it easily covers most of the damage that Avoid20 can't, until you start approaching the end of the game.  It will even activate on damage between 1 and 20, so don't worry that the enemy's damage is too low.  Most of the perks of Avoid20 also apply, with the added bonus of covering twice as much damage range.  A medium to high activation computer is probably your best bet.|Play the JDF Test Facility simulation and just let the enemies with machineguns beat you up a lot.  You can learn it pretty easily this way, though it may take some time at first.  It helps to kill anyone using missiles or melee, since they won't activate the skill.
